County,County_FIPS,ThunderstormWind_Count,Tornado_Count,ThunderstormWind_Deaths,Tornado_Deaths,ThunderstormWind_Injuries,Tornado_Injuries,ThunderstormWind_PropertyDamages,Tornado_PropertyDamages,CoastalFlood_Count,StormSurge/Tide_Count,CoastalFlood_Deaths,StormSurge/Tide_Deaths,CoastalFlood_Injuries,StormSurge/Tide_Injuries,CoastalFlood_PropertyDamages,StormSurge/Tide_PropertyDamages,Hurricane_Count,TropicalDepression_Count,TropicalStorm_Count,Hurricane_Deaths,TropicalDepression_Deaths,TropicalStorm_Deaths,Hurricane_Injuries,TropicalDepression_Injuries,TropicalStorm_Injuries,Hurricane_PropertyDamages,TropicalDepression_PropertyDamages,TropicalStorm_PropertyDamages,Flood_Count,Hail_Count,Flood_Deaths,Hail_Deaths,Flood_Injuries,Hail_Injuries,Flood_PropertyDamages,Hail_PropertyDamages,Avg_Hail_Size,Avg_ThWind_Speed,Avg_Tor_EF,Cluster
AUTAUGA CO.,1,131,35,0,10,3,73,1789000,13711600,,,,,,,,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,260000.0,4.0,59.0,0.0,0.0,0.0,0.0,0.0,2711000.0,1.1977966101694917,50.74045801526717,0.7714285714285715,6
BLOUNT CO.,9,210,40,0,0,15,40,694000,28673500,,,,,,,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,97000.0,6.0,77.0,0.0,0.0,0.0,0.0,0.0,40000.0,1.1563636363636365,51.114285714285714,1.0,6
CULLMAN CO.,43,373,53,1,2,17,11,4144500,23855000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,169.0,0.0,0.0,0.0,0.0,310000.0,49000.0,1.153491124260355,52.39247311827957,0.8867924528301887,6
DEKALB CO.,49,414,45,0,32,11,45,2066400,9278000,,,,,,,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,23.0,139.0,0.0,0.0,0.0,0.0,0.0,285000.0,1.1089208633093524,50.94202898550725,1.4,6
ETOWAH CO.,55,217,17,0,0,35,22,1345500,20934000,,,,,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,47000.0,8.0,84.0,0.0,0.0,0.0,0.0,0.0,100000.0,1.193809523809524,51.866359447004605,1.2941176470588236,6
FAYETTE CO.,57,104,37,1,4,3,8,709000,13399000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.04,51.25,1.0,6
FRANKLIN CO.,59,195,12,0,27,1,1,1100200,50610000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,82.0,0.0,0.0,0.0,0.0,0.0,62000.0,1.0882926829268291,53.59487179487179,1.1666666666666667,6
JACKSON CO.,71,368,37,0,12,5,15,1486100,6398000,,,,,,,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,28.0,90.0,0.0,0.0,0.0,0.0,10000.0,120000.0,1.0954444444444444,50.85326086956522,1.0810810810810811,6
LAMAR CO.,75,177,26,0,2,1,3,1112000,1567000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1860000.0,5.0,83.0,0.0,0.0,0.0,0.0,0.0,162000.0,1.139156626506024,52.18079096045198,0.8461538461538461,6
LAWRENCE CO.,79,232,29,0,20,3,25,3451100,40818000,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,104.0,0.0,0.0,0.0,0.0,0.0,75000.0,1.1525,53.116379310344826,0.9655172413793104,6
LIMESTONE CO.,83,336,54,0,6,0,78,4290500,1001723000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,133.0,0.0,0.0,0.0,0.0,0.0,13000.0,1.1737593984962404,52.42857142857143,0.5370370370370371,6
MARION CO.,93,175,28,0,25,3,201,1284250,177342500,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3060000.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,51000.0,1.1155102040816325,51.66857142857143,0.9642857142857144,6
MORGAN CO.,103,370,29,1,1,3,0,3870800,1017000,,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,121.0,0.0,0.0,0.0,0.0,1100000.0,154000.0,1.2564462809917356,51.15135135135135,1.0689655172413792,6
