County,County_FIPS,ThunderstormWind_Count,Tornado_Count,ThunderstormWind_Deaths,Tornado_Deaths,ThunderstormWind_Injuries,Tornado_Injuries,ThunderstormWind_PropertyDamages,Tornado_PropertyDamages,CoastalFlood_Count,StormSurge/Tide_Count,CoastalFlood_Deaths,StormSurge/Tide_Deaths,CoastalFlood_Injuries,StormSurge/Tide_Injuries,CoastalFlood_PropertyDamages,StormSurge/Tide_PropertyDamages,Hurricane_Count,TropicalDepression_Count,TropicalStorm_Count,Hurricane_Deaths,TropicalDepression_Deaths,TropicalStorm_Deaths,Hurricane_Injuries,TropicalDepression_Injuries,TropicalStorm_Injuries,Hurricane_PropertyDamages,TropicalDepression_PropertyDamages,TropicalStorm_PropertyDamages,Flood_Count,Hail_Count,Flood_Deaths,Hail_Deaths,Flood_Injuries,Hail_Injuries,Flood_PropertyDamages,Hail_PropertyDamages,Avg_Hail_Size,Avg_ThWind_Speed,Avg_Tor_EF,Cluster
BUTLER CO.,13,86,13,1,0,1,3,1210000,561000,,,,,,,,,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434000.0,1.0,23.0,0.0,0.0,0.0,0.0,600000.0,1000.0,0.9356521739130436,55.30232558139535,0.4615384615384615,1
CHOCTAW CO.,23,118,26,0,0,0,4,718000,15062000,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1321000.0,1.1658064516129032,52.067796610169495,1.0,1
CLARKE CO.,25,227,22,0,0,0,2,1095000,718000,,,,,,,,,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,76.0,0.0,0.0,0.0,0.0,255000.0,115000.0,1.1357894736842105,53.49339207048458,0.9090909090909092,1
CONECUH CO.,35,74,15,0,1,1,0,1987000,2093000,,,,,,,,,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9711764705882354,54.58108108108108,0.4666666666666667,1
CRENSHAW CO.,41,122,17,0,0,0,0,1561000,1187000,,,,,,,,,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71000.0,2.0,21.0,0.0,0.0,0.0,0.0,135000.0,17000.0,1.1428571428571428,53.09016393442623,0.6470588235294118,1
DALE CO.,45,314,20,0,0,0,34,2039750,8946000,,,,,,,,,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,1125000.0,6.0,42.0,0.0,0.0,0.0,0.0,228000.0,0.0,1.1314285714285717,51.90365448504984,0.45,1
ESCAMBIA CO.,53,125,13,0,0,13,20,2180000,7441000,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,0.0,0.0,0.0,0.0,767000.0,51000.0,1.3021951219512196,55.208,0.8461538461538461,1
HENRY CO.,67,176,27,0,2,1,32,650250,21832000,,,,,,,,,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,905590.0,2.0,19.0,0.0,0.0,0.0,0.0,301000.0,0.0,1.184736842105263,51.43373493975904,0.7407407407407407,1
MONROE CO.,99,90,12,0,0,1,0,987000,1983000,,,,,,,,,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,0.0,0.0,0.0,0.0,300000.0,0.0,1.1711363636363636,54.25555555555555,0.75,1
WASHINGTON CO.,129,93,20,0,3,6,4,2246000,5854000,,,,,,,,,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1410000.0,1.1078,53.68817204301075,0.8,1
WILCOX CO.,131,43,9,0,1,0,2,390000,2010000,,,,,,,,,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.0443478260869563,53.27906976744186,1.2222222222222223,1
